gene,rank,eqtl_hlapers,eqtl_previous,d_prime,rtc,significant
HLA-DPA1,0,rs72870107,rs2071353 (GTExV7),0.96,0.31,0
HLA-DPA1,0,rs72870107,rs6935846 (Fairfax2012),0.38,0.01,0
HLA-DPB1,0,rs9277449,rs3128964 (GeuvadisExon),1,0.99,1
HLA-DPB1,0,rs9277449,rs9277534 (Thomas2012),1,0.87,0
HLA-DPB1,0,rs9277449,rs86567 (Fairfax2012),0.28,0.25,0
HLA-DPB1,1,rs9296068,rs34885310 (Delaneau2017),0.96,0.94,1
HLA-DPB1,1,rs9296068,rs86567 (Fairfax2012),0.89,0.85,0
HLA-DPB1,1,rs9296068,rs3128964 (GeuvadisExon),0.17,0.57,0
HLA-DPB1,1,rs9296068,rs9277534 (Thomas2012),0.17,0.49,0
HLA-DQA1,0,rs75170544,rs9274660 (GeuvadisGene),0.72,0.82,0
HLA-DQA1,0,rs75170544,rs9274660 (GeuvadisExon),0.72,0.82,0
HLA-DQA1,0,rs75170544,rs9273376 (Delaneau2017),0.71,0.8,0
HLA-DQA1,0,rs75170544,rs9271593 (Raj2016),0.61,0.69,0
HLA-DQA1,1,rs9271375,rs9274660 (GeuvadisGene),0.67,0.87,0
HLA-DQA1,1,rs9271375,rs9274660 (GeuvadisExon),0.67,0.87,0
HLA-DQA1,1,rs9271375,rs9273376 (Delaneau2017),0.66,0.86,0
HLA-DQA1,1,rs9271375,rs9271593 (Raj2016),0.06,0.09,0
HLA-DQB1,0,rs9274688,rs9274660 (GeuvadisGene),1,0.93,1
HLA-DQB1,0,rs9274688,rs9274660 (GeuvadisExon),1,0.93,1
HLA-DQB1,0,rs9274688,rs17612907 (GTExV7),0.48,0.87,0
HLA-DQB1,0,rs9274688,rs9274639 (Delaneau2017),0.95,0.78,0
HLA-DQB1,0,rs9274688,rs9271593 (Raj2016),0.49,0.31,0
HLA-DQB1,1,rs3134978,rs9271593 (Raj2016),1,0.84,0
HLA-DQB1,1,rs3134978,rs9274660 (GeuvadisGene),1,0.74,0
HLA-DQB1,1,rs3134978,rs9274660 (GeuvadisExon),1,0.74,0
HLA-DQB1,1,rs3134978,rs9274639 (Delaneau2017),1,0.6,0
HLA-DQB1,1,rs3134978,rs17612907 (GTExV7),0.36,0.59,0
HLA-DRB1,0,rs9271108,rs35399335 (Delaneau2017),0.95,0.6,0
HLA-DRB1,0,rs9271108,rs35957722 (GeuvadisGene),0.83,0.55,0
HLA-DRB1,0,rs9271108,rs5016923 (GTExV7),0.79,0.44,0
HLA-DRB1,0,rs9271108,rs9271593 (Raj2016),0.24,0.18,0
HLA-DRB1,0,rs9271108,rs9268839 (GeuvadisExon),0.01,0.06,0
HLA-DRB1,1,rs9271377,rs9271593 (Raj2016),0.45,0.83,0
HLA-DRB1,1,rs9271377,rs35399335 (Delaneau2017),0.99,0.81,0
HLA-DRB1,1,rs9271377,rs35957722 (GeuvadisGene),0.9,0.73,0
HLA-DRB1,1,rs9271377,rs5016923 (GTExV7),0.21,0.53,0
HLA-DRB1,1,rs9271377,rs9268839 (GeuvadisExon),0.28,0.07,0
